M_RSCP,M_RSRQ,M_SINR,M_CQI,M_QPSK ,M_16QAM,M_64QAM,M_256QAM,M_MIMO,M_Thrpt_Mbps,Thrpt_Good?
-93.95972389,-6.37678956,11.77427753,7.845782197,0,0.25,0.75,0,0.333333333,18.79634058,0
-93.08879209,-9.733213962,6.774481603,6.495771805,0.514925,0.373134,0.11194,0,0.302446295,37.70138951,1
-82.27939837,-7.86690941,16.19620596,9.885929659,0.227848,0.430379,0.335443,0.006329,0.298731608,52.78250718,1
-68.60941091,-7.861393532,22.18059633,11.95242964,0.005555,0.205555,0.75,0.038888,0.345408705,109.0737221,1
-77.41694527,-5.093734657,10.68492581,9.098695623,0,0.083333,0.916666,0,0,28.15255935,1
-84.95012043,-9.155431135,8.191593974,6.436258884,0.432989,0.443298,0.123711,0,0.125616259,33.86464449,1
-80.14829835,-8.920307403,16.70383433,10.90787893,0.173333,0.246666,0.566666,0.013333,0.333333333,109.5128372,1
-79.90102734,-5.8612161,23.93250281,14.4142856,0,0.071428,0.642857,0.285714,0.333333333,28.73093254,1
-95.27992982,-10.10941367,20.73230517,7.887334947,0.429378,0.220338,0.005649,0.344632,0.394604057,134.1411022,1
-88.79635516,-9.655145721,8.997150409,7.298699151,0.461538,0.391608,0.146853,0,0.297998891,50.31424243,1
-97.57032629,-9.653295805,9.554395711,7.486397885,0.011363,0.40909,0.579545,0,0.515909451,52.54812569,1
-99.4593296,-7.993721355,11.75921373,8.602602603,0,0.9,0.1,0,0.3998999,21.3111619,0
-96.39704245,-10.12371368,5.747254805,6.349638889,0.313953,0.476744,0.209302,0,0.439103532,26.94263372,1
-95.29132912,-9.836472711,10.90179261,7.18241003,0.20979,0.643356,0.146853,0,0.232471483,73.9304628,1
-85.80724545,-7.349093598,9.421637055,8.640221578,0.238095,0.619047,0.142857,0,0,19.92748924,0
-90.72944833,-7.432325696,12.40762107,10.4379453,0.105263,0.517543,0.377192,0,0.30130582,24.05568301,0
-86.52742335,-8.039265708,19.5764322,9.772860982,0.054054,0.27027,0.662162,0.013513,0.406153926,88.2990629,1
