MQ,MD,MU,BQ,BC,Call_Drops
-15.5,-116,2739.7,0,1,1
-15.5,-88,492.5,0,0,1
-15.5,-89,-111.5,0,0,1
-15.5,-90,-102.9,0,0,1
-15.5,-92,-102.5,0,0,1
-15.5,-94,-99.3,0,0,1
-15.5,-95,-101.9,0,0,1
-15.5,-96,-97.9,0,1,1
-15.5,-97,-111.5,0,1,1
-15.5,-98,-103.4,0,1,1
-15.5,-99,-99.6,0,1,1
-15.5,-99,-103.2,0,1,1
-15.5,-107,-103.1,1,1,0
-16,-100,-103.7,0,1,1
-16,-101,-99.7,0,1,1
-16,-102,-105.1,0,1,1
-16,-103,-103.7,0,1,1
-16,-106,-92.4,0,1,1
-16,-107,-103.4,0,1,1
